id,fen,mateIn,composer
e7d4016a,8/8/5K1p/4p3/5kN1/4R3/4B3/8 w - - 0 1,4,Валерий Алексеевич Иванов
18aeb256,8/1P3P2/8/2P4P/3p4/p1PKR3/2P1P1pP/R4nkb w - - 0 1,4,Peter Hoffmann
00f43b82,4n3/N2NK3/1pP4p/b3p3/pkB4B/3Q4/5p2/3b3r w - - 0 1,4,Hans Vetter
0cab2d16,5k2/3Q4/8/3B2n1/p7/8/1P4K1/8 w - - 0 1,4,Adam Uebeleisen
28c98c5e,Br5b/1R6/p2ppr1n/6p1/6p1/2PP1kp1/NR3pN1/5K2 w - - 0 1,4,Knud Harald Hannemann
7cbd40e6,Q4n2/1Kn5/B7/8/6N1/1p5N/pp3Rp1/6rk w - - 0 1,4,Adolf Herrmann Rudolf Ferdinand Kraemer
4753bb99,6bn/5pNk/5PrP/4KB2/2p1p2B/7R/2pP4/2N5 w - - 0 1,4,Joselito Marcos
f7850566,3qr3/6pN/PNQ2p2/3Pk3/R4nB1/3p2p1/4nR2/K7 w - - 0 1,4,
dc2e6ca0,r6k/3R2p1/6B1/5p2/2Q3pp/3K1p2/8/1n6 w - - 0 1,4,Gerald Sladek
5b811602,n6B/6N1/2P5/PPR5/1p1k4/2r1RB2/3p4/3n2K1 w - - 0 1,4,Jiří Chocholouš
57110915,8/q2p4/bprp4/1p6/kB1P4/P1p1N3/2P1N3/3K4 w - - 0 1,4,Siegfried Brehmer
1587f96b,2r4k/3Q4/8/8/8/8/2pB4/2K5 w - - 0 1,4,Виктор Сергеевич Жеглов
4b6100b1,1Kb5/2p5/k1B1n1p1/r7/PpN1ppp1/3Pr3/5n1q/Q1N5 w - - 0 1,4,Ernst Baumgarten
66ff21c2,5K2/5N2/5k2/8/5N1R/8/8/8 w - - 0 1,4,Claus Grupen
226bc558,1BB5/R6p/5k1K/5P2/7P/8/8/8 w - - 0 1,4,Виктор Фёдорович Волчек
3d86fa42,8/1N6/3R4/2p1k3/6K1/8/4PP2/8 w - - 0 1,4,Александр Васильевич Галицкий
019ad989,1kN3B1/1P5R/8/K7/1Pppp3/6P1/6n1/1bB3b1 w - - 0 1,4,William Meredith
3635e364,4K3/3B4/ppPQNR1n/2ppp1pr/2rNkpPn/1P6/b2PPbq1/8 w - - 0 1,4,Евгений Васильевич Фомичёв
f3decb93,1BR5/4p3/7p/3k4/8/4K1PB/8/8 w - - 0 1,4,George James Slater
45dd25bc,8/8/3p4/8/1K2k3/7B/5Q2/8 w - - 0 1,4,Ferhat Karmil
ddd492f4,7B/b2K4/3N4/2pk1p2/2p5/2p1n3/r3P3/1b2N3 w - - 0 1,4,Jacob Elson
7520ccbc,8/3b4/8/5Pp1/3P2pb/2pPp1p1/Q1Ppk1B1/1K1R1R2 w - - 0 1,4,Damien Grossi
6cfb0ac6,B7/5RN1/3k4/2p1p3/1p3p2/7p/3B3K/8 w - - 0 1,4,Frank Genenncher
1cbfc557,3K1k2/5P2/4P3/8/R2N4/4P3/8/8 w - - 0 1,4,Микола Васильович Резвов
9fd08af7,3K4/3RNpp1/1p1p3p/4pp2/1P2kP1P/4B3/n2pBP1n/3r4 w - - 0 1,4,Wilhelm Krämer
b17ada24,2K5/1Np5/2k5/8/5N2/3B4/P7/8 w - - 0 1,4,Владимир Михайлович Воронин
6c2efd7b,3R2N1/7k/7P/6p1/3K2p1/6P1/5N2/8 w - - 0 1,4,Léon Guinet
4727a1e6,k2B4/PN3Br1/2K3P1/1PP1P3/4P3/2q2p2/5P2/RQ3N2 w - - 0 1,4,Сергей Петрович Абраменко
6507c22c,8/3P4/5P2/3PP3/8/4p3/p1K1P3/k1b5 w - - 0 1,4,Valerian Oniţiu
818d5fd6,8/3R3b/6k1/8/5KP1/8/1B6/8 w - - 0 1,4,Григорий Степанович Гамза
382da9ec,K2n2B1/8/8/5N2/4k3/n2N3Q/8/8 w - - 0 1,4,Camillo Gamnitzer
5a429b0a,2q5/2np2nN/2pRbR1p/1Np4P/1bp1kPp1/1p2P1B1/4PP1K/3B4 w - - 0 1,4,Александр Ильич Сыгуров
1ad29e37,8/3p4/K2P4/1Q6/P2kP3/8/1N6/B7 w - - 0 1,4,Николай Иванович Бантыш
0dcedb46,2n3R1/2N5/8/4p3/7k/1K6/6P1/b7 w - - 0 1,4,Zdeněk Libiš
5f020b83,8/8/8/p1p1p3/P1R4R/k1P1PN2/1p6/1K6 w - - 0 1,4,Johannes Minckwitz
edfedf6b,8/8/7R/4k1p1/K3B1p1/6N1/7P/3N4 w - - 0 1,4,Микола Володимирович Кулігін
54f617da,2nRn1R1/2Br3q/1p1N1P2/pPk1P3/K2p1pP1/1B3b1p/1p3NrQ/8 w - - 0 1,4,Рудольф Михайлович Ларин
