id,fen,mateIn,composer
b89d56fd,7q/1R1NB2p/Ppk4P/3n4/P7/8/6BK/8 w - - 0 1,6,Erich Ernest Zepler
386d68d2,2r4n/3pBp2/3PkP1P/7R/r2pNp2/8/p1N2p2/K4Bn1 w - - 0 1,6,Rainer Ehlers
cfaeea30,1K1N4/3kB3/8/3N4/8/8/5P2/8 w - - 0 1,6,Camil Seneca
63adb465,6B1/8/7k/K2N3q/8/6R1/8/6R1 w - - 0 1,6,Baldur J. L. Kozdon
58f4b765,8/8/2p2p2/2P1kP2/8/4K2B/8/2B5 w - - 0 1,6,Rainer Staudte
79565242,1R1b3r/1Np5/1k6/8/8/3N4/8/2Kb4 w - - 0 1,6,Milenko Đukić
9d9fd003,3rk1K1/4r1p1/4R3/8/8/8/8/6Q1 w - - 0 1,6,Виталий Семёнович Коваленко
9a02818b,2B5/1N6/1B4N1/8/4k3/8/4K3/8 w - - 0 1,6,Виктор Иванович Желтухов
bca0a1d7,3k4/1p1B2pK/1p1PP1p1/8/3R3N/p6p/4p3/4b1rb w - - 0 1,6,Baldur J. L. Kozdon
3a77852b,R7/8/8/8/8/7p/3R3p/1k1K4 w - - 0 1,6,Юрий Никитович Серёжкин
d7b90087,8/B7/2p5/8/5p2/1B3P2/2NkPp2/5K2 w - - 0 1,6,Nikolaj Zujev
b237a170,8/4K3/8/5k2/6p1/5p2/4p2Q/7R w - - 0 1,6,
e69f3757,8/1R4B1/4pK2/2p5/1P4b1/kr1p4/Pp2n3/1B2n3 w - - 0 1,6,М. Кузнецов
12d90d03,r3kN2/1pp1p3/4Q3/R5p1/q1p1bp2/2b5/3p3K/6B1 w - - 0 1,6,Dieter Müller
258e5aea,QbK5/pr6/qp3RNp/1p1k4/1Bp2p2/2P2P1p/7P/8 w - - 0 1,6,Wilhelm Krämer
8eb5e132,8/6p1/5pBk/5P1N/5K2/8/8/8 w - - 0 1,6,Владимир Анатольевич Сучков
e3d79d10,2b1b1K1/2p2p2/4pRnk/3p2rp/1P6/4BpPr/6N1/Q5nq w - - 0 1,6,Dawid Przepiórka
ee513a4b,8/8/6p1/2p1p3/2p5/K1k1P3/2P1Q3/8 w - - 0 1,6,Ernst Otto Martin
138b6649,3K4/8/8/3p1p2/1p1P1B2/NP6/7R/3k4 w - - 0 1,6,Josef Kling
27becdb9,1RR2Kb1/3k1p1r/3pppB1/p2n4/1pN5/5pp1/r2B1P1N/7q w - - 0 1,6,Милан Радоје Вукчевић
1003f9e5,8/8/2p5/8/8/4K2B/5N2/4k3 w - - 0 1,6,Микола Володимирович Кулігін
63cc5ba5,2NK4/7p/p1P5/kpp4b/pr2ppp1/P1B5/3P4/7r w - - 0 1,6,Olivier Schmitt
cad0abaf,r1b4r/BnPp2pq/1N1Rpb1P/1pQPNkp1/8/4K1P1/p7/2R5 w - - 0 1,6,Émile Léonard Pradignat
76edcdce,8/8/3PK3/3N4/2r1p3/p1P1P2p/kbRP3p/N6R w - - 0 1,6,P. A. Orlimont
0c09f280,8/8/8/8/p2b4/7p/1R6/R3K2k w - - 0 1,6,Сергей Петрович Абраменко
2e505665,8/8/1pp5/1k6/8/Q2K4/8/8 w - - 0 1,6,Юрий Акимович Сушков
7a24471e,8/3N4/p2p4/4b3/3pkpB1/1K2p2Q/3q4/4n1r1 w - - 0 1,6,Napoleon Marache
a496a409,1n5K/2Nb2R1/p4Bp1/1p3kP1/1r2p3/b1p1p1PP/4P3/8 w - - 0 1,6,Josef Volf
da9a48da,8/7N/8/4k3/8/3Q4/2P4p/7K w - - 0 1,6,Miroslav Havel
98bf40ba,8/8/8/8/5R2/4p1P1/4k1K1/5R2 w - - 0 1,6,Иван Иванович Антипин
af7346a7,8/8/7N/7B/7K/8/8/7k w - - 0 1,6,Николай С. Зиновьев
6b89d04d,k7/8/8/8/8/6R1/7R/b2K4 w - - 0 1,6,Виктор Сергеевич Жеглов
c7894662,8/8/3K4/8/3k4/1P3R2/3N4/8 w - - 0 1,6,Евгений Викторович Марков
1a165880,8/2B1p1n1/N1P1k1K1/4P1Pp/r2p1p2/5Q2/2r1N2q/8 w - - 0 1,6,Alois Johandl
cc15ee95,6rk/6p1/pp2p1K1/8/1r1P4/q1bpQP2/8/4n3 w - - 0 1,6,Erich Anselm Brunner
1aac81bc,8/3B4/6K1/2NpkN2/8/3P4/8/8 w - - 0 1,6,Владимир Михайлович Воронин
0fd47533,3R3q/1b6/n2B4/1B6/3pn2b/K1kP3r/2p3P1/2Q5 w - - 0 1,6,Baldur J. L. Kozdon
16ef56fd,8/3p4/2pnn1K1/1p1k1N2/1pb2pN1/4bP2/1PP5/8 w - - 0 1,6,Oto Mihalčo
f87b672c,3N4/3N4/3p4/1p1k1pK1/P4R2/3B1Pp1/P2p1P2/2r5 w - - 0 1,6,Leonid Makaronez
bd028338,5n2/1R5p/5Npb/4p3/2p1BR1B/6pk/p5N1/5bnK w - - 0 1,6,Григорий Леонтьевич Попов
d4796a85,8/1p6/1P6/8/1PP4p/kB5P/2K5/4BN2 w - - 0 1,6,Ulrich Otto Ferdinand Auhagen
f37ff34b,3bbn1q/6p1/Q4p1P/P1kP4/P7/1BBp4/1p3KP1/8 w - - 0 1,6,Stephan Eisert
a154d22f,6Q1/1q2bp2/2N1n2r/Pr6/p1p1n3/PkP1pp2/R1R1P2p/KB6 w - - 0 1,6,Анатолій Вікторович Караманіц
93c6639b,KBN5/4pR2/p3n1pp/N1p3kr/5p1b/3Pp1pP/1P4P1/r6n w - - 0 1,6,Hans Peter Rehm
4e270b27,r7/5Np1/b2p2N1/qr5k/1p6/p7/8/K5Q1 w - - 0 1,6,Hans Lepuschütz
187a09e3,6K1/2Q5/6B1/8/3k4/8/8/8 w - - 0 1,6,Panos Louridas
f5d4fdaa,8/3p4/1K1k4/8/8/3PR3/5P2/B7 w - - 0 1,6,Микола Васильович Резвов
5a7ca377,4R3/2p2p2/2P2P2/3p4/1K1k1P2/2Nbp3/4P3/8 w - - 0 1,6,Norbert Ringeltaube
67cecb72,KQ6/p7/p7/8/k7/8/8/8 w - - 0 1,6,Vladimír Pachman
ad06fc9b,7k/5K1P/8/8/3b4/4P3/8/7R w - - 0 1,6,Frank Uhlig
2212cf22,2bB2B1/1pPp4/1K1kr3/8/2p5/2N2NP1/8/8 w - - 0 1,6,Karl Junker
8859992d,1k6/8/1P1N4/K7/8/8/8/8 w - - 0 1,6,Christian Poisson
023037a3,k7/3N4/K7/8/P1p5/8/5N2/1n6 w - - 0 1,6,Павел Михайлович Арестов
54698ec6,8/8/3BB3/8/8/2kP4/2P5/2K4N w - - 0 1,6,Владимир Викторович Морозов
415fe186,8/6B1/2K5/6N1/4B3/8/3N2n1/7k w - - 0 1,6,Oskar Strýček
9ceb1eb7,8/8/4p3/4k1K1/8/8/3R3P/3N4 w - - 0 1,6,Lajos Riczu
35710ca6,n2r4/7p/b3R3/1p1k3r/1KNNp3/8/1B1R4/5n2 w - - 0 1,6,Herbert Grasemann
ed5b1aa3,5Rbk/2R5/8/8/8/p7/8/K7 w - - 0 1,6,Hannes Baumann
f9af817e,8/1p1pRp2/1B1P1p2/1B2nP2/4k2N/2P5/4N3/2K5 w - - 0 1,6,Heinz Däubler
8e2a4b93,6k1/8/7P/5R1P/7P/8/6K1/8 w - - 0 1,6,Werner Speckmann
b8d4352a,8/8/8/4p3/4p3/4K1Qp/6b1/6kr w - - 0 1,6,Gregor Werner
21b9b1bd,4n3/nrp1N3/3bP3/1r3p2/2P1kpN1/pb1pPp2/3P1P1Q/B6K w - - 0 1,6,Hans Peter Rehm
935bb0cf,2k5/3q4/1Q1pN3/8/8/7B/8/6K1 w - - 0 1,6,Baldur J. L. Kozdon
733ae047,8/7Q/5r1n/5p2/8/2P2N2/4PK2/7k w - - 0 1,6,Herbert Nikolussi
0e46ae09,6Bk/5K2/7p/8/8/8/2P5/8 w - - 0 1,6,Борис Дмитриевич Пустовой
d92be2c0,4N3/2K5/8/2k5/5N2/2PB4/8/8 w - - 0 1,6,Евгений Викторович Марков
7a872246,8/1p2K3/8/3kN3/B2B4/4P1Nn/b1p3pr/2n5 w - - 0 1,6,Alois Johandl
520501a5,8/4pRp1/1p2p1P1/1P6/2K1k3/8/2PP1P2/8 w - - 0 1,6,George Edward Carpenter
f0f6a5b4,3r2R1/1n6/1p1p1p2/1K1BkN2/1N3pP1/p4pB1/8/r1b5 w - - 0 1,6,Ralf Krätschmer
4c787e75,8/8/6p1/6pb/6p1/6p1/1NBpppn1/2Qrrk1K w - - 0 1,6,Godehard Murkisch
cde2bf4a,7K/p1B4P/1pR2p2/p7/3kP3/p3pP2/4p1p1/4Nbr1 w - - 0 1,6,Camillo Gamnitzer
5352a96e,1r5k/5B2/6pK/8/8/8/8/2B5 w - - 0 1,6,Глеб Николаевич Заходякин
a680b142,2b1Br2/b1Rn4/rk1Pq3/p3P3/P7/1N6/KR3p2/4B2N w - - 0 1,6,Siegfried Brüchner
d12e1d8e,1R2K3/p5pp/8/1p5p/8/1n2N1Bk/p6P/5b1B w - - 0 1,6,Udo Schmidt
4486a3ac,8/6K1/8/1p6/bN1B4/PR1R4/BPP3PP/k1r5 w - - 0 1,6,Авенир Николаевич Попандопуло
7f1ca5c0,8/8/8/4k3/8/1R3R2/8/K7 w - - 0 1,6,Bernhard Rittmeier
f39c8361,8/4p2r/pB2p2b/1b5r/6Pp/kB1P1PpK/N1P5/3N1n2 w - - 0 1,6,Dieter Kutzborski
30443a4d,8/6B1/6P1/8/8/7k/5K2/8 w - - 0 1,6,Otto Georg Edgar Dehler
