id,fen,mateIn,composer
53e4e2ae,1K4b1/4R1Pp/5B2/2p3p1/np3kp1/6p1/rPBpPpr1/2b2n2 w - - 0 1,13,Olivier Schmitt
b904576a,K1k1B3/1p2pp1p/pP6/8/3R4/1p1pN2p/8/1r2r2b w - - 0 1,9,Manfred Zucker
136ffa99,n3k3/2p1B1bp/1p2Qpbq/p3p3/8/4pP2/N1p4P/K1Rn4 w - - 0 1,12,Анатолий Викторович Стёпочкин
434f0897,8/K2p4/pN1p2p1/pk1P3p/p3P2P/P1B3P1/8/8 w - - 0 1,8,Pierre Drumare
6d8ae369,2N5/8/1B2N1P1/4kBp1/qpp1P1p1/1r3pPP/3PP3/bn5K w - - 0 1,8,Евгений Васильевич Фомичёв
39bdbc48,2b2n2/KN6/N3p3/4P1p1/k1P2P2/p1p1P3/Pb2BP2/1r6 w - - 0 1,12,Григорий Леонтьевич Попов
155df743,8/1p1rp2p/2p4p/4p2K/1RB2k1N/5P2/3r3b/5N2 w - - 0 1,11,Авенир Николаевич Попандопуло
48d0dc82,K7/N7/k7/p7/N7/1P6/1P6/8 w - - 0 1,11,Николай С. Зиновьев
18427f6d,8/7p/6pr/5pPk/5K2/6pB/8/5N2 w - - 0 1,9,Ulrich Otto Ferdinand Auhagen
8cde795f,8/p7/8/8/8/1R6/K1k5/8 w - - 0 1,14,Ferhat Karmil
7879854c,8/8/1p2K3/8/pP1k4/P2p1p2/1P1N1P2/3B4 w - - 0 1,10,Николай Дмитриевич Аргунов
f70568b5,N7/8/8/bp5p/6pr/6p1/2R2prp/1K3Qnk w - - 0 1,9,Otto Bernard Wurzburg
dec8d7bc,5NK1/2p5/p1P2p2/P1ppkNn1/3p1pP1/P2P2p1/n1Bb1P2/8 w - - 0 1,8,Mircea Mihai Manolescu
5901b596,R7/5P2/2P5/3PpP2/1p2p3/4p3/1p1pP3/bk1K4 w - - 0 1,8,Лев Николаевич Тамков
e806c2c7,k7/7b/1K3p1n/1p6/8/8/6R1/8 w - - 0 1,9,Ferhat Karmil
3f3acf9e,6n1/b4N2/3Q1p2/r2n1k1K/b3ppp1/2p4p/8/N4B2 w - - 0 1,11,Baldur J. L. Kozdon
8768f95b,k7/pr4p1/N7/3B2p1/1N4P1/1P6/8/3K4 w - - 0 1,8,Karl Junker
a95a63ad,5K2/6p1/4k1p1/p2R3P/1pP1NP1n/rQ3Pp1/4pr1q/2nb2b1 w - - 0 1,9,Baldur J. L. Kozdon
829c3d68,3rb2r/1n2ppN1/3p1Qpk/6N1/p1p3p1/K3p3/8/8 w - - 0 1,10,Josef Johann Breuer
d2f5f4b9,1n6/3p4/p1pP2p1/P1N1P1p1/3k2P1/1K1N4/5PB1/8 w - - 0 1,8,Jaques Fulpius
e8bd1b5e,8/2p5/8/8/8/2p2K2/2P3BP/6k1 w - - 0 1,8,Борис Дмитриевич Пустовой
087bafde,2k4r/3b2R1/1K1B4/8/4B3/8/8/8 w - - 0 1,8,Александр Николаевич Мельничук
1bded32a,8/p7/3KPpq1/3Rpp2/p3kp1N/1Pp1n2B/1pP1Rnr1/1rb5 w - - 0 1,18,Gerald Ettl
5b171a9f,4Nr2/5Pp1/3p1P1r/P3kPN1/PB1p1pB1/4p3/1KP1p3/3b4 w - - 0 1,8,Vladislav Buňka
1fefee7e,1N6/2R5/8/8/8/4K1p1/6p1/6k1 w - - 0 1,8,Пётр Степанович Печёнкин
85b02f3e,4K3/2bB4/1p1kN3/1pr1nR2/b5p1/1p2N1B1/8/8 w - - 0 1,8,Ferdinand Metzenauer
7be9c81e,6R1/n3BBpk/q6p/rr3n1Q/2b4P/4N3/6P1/4R1K1 w - - 0 1,14,George Edward Carpenter
fcda7640,1RB1n1b1/r3p2N/5ppQ/b1p2p2/r3P1p1/1p1p2k1/2N5/1n4K1 w - - 0 1,8,Olivier Schmitt
6972ad37,8/2p1p2K/2R5/1k1P1P2/5b1p/1pP5/8/7B w - - 0 1,9,Attila Korányi
942150e0,K2N4/p7/p3P1b1/kp6/p7/P7/8/8 w - - 0 1,11,Frédéric Lazard
