id,fen,mateIn,composer
cd0c05b2,2B5/n1r2p2/KBppN3/p7/k2p4/P7/Pp2p3/1N6 w - - 0 1,7,Евгений Васильевич Фомичёв
59c295ca,5K1N/7k/6N1/5ppp/8/8/1p6/bR6 w - - 0 1,7,Baldur J. L. Kozdon
efa8c1e4,8/8/1p6/1R6/8/3B4/p2K4/k7 w - - 0 1,7,Евгений Викторович Марков
f6fe71bd,8/1p2N3/8/ppP5/2kP4/BR2P3/2P4K/8 w - - 0 1,7,Kurt Keller
781618af,5QBk/8/5pp1/2p5/2p5/K1p5/2b5/8 w - - 0 1,7,Erwin Moritz Herbert Guttmann
2abca7fc,N7/K7/8/kp1N4/8/1P6/8/8 w - - 0 1,7,Émile Léonard Pradignat
a49f402b,2k5/4R3/8/5N2/8/8/1p1P4/bK6 w - - 0 1,7,Artur Mandler
78d50bf1,8/p5pr/k1K1pp1r/8/1PR3p1/1p1p4/7b/7B w - - 0 1,7,Reinhardt Fiebig
76b30079,8/1p6/pp5p/kb2R2P/1p3p2/bP3P2/R7/3K4 w - - 0 1,7,Siegfried Brüchner
ae278ae2,3K4/8/1p1k4/1P1B4/1P2P1N1/8/8/8 w - - 0 1,7,Manfred Zucker
c5314da7,3N4/p2Bn2K/k1p5/2P5/pB1Np3/1pP1p3/b7/r1b5 w - - 0 1,7,Wolfgang Bär
f2bf15d3,3n3n/1p2b2N/3p2pP/1Pp1r3/1p1rp1P1/2Pk1pP1/1K1P4/3RR3 w - - 0 1,7,Heinrich Friedrich Ludwig Meyer
105f2d28,8/8/8/8/6p1/6k1/8/2B1K2R w - - 0 1,7,Владимир Семёнович Гребешков
8fe0d6a5,8/1p6/8/pp6/kp6/1R6/PR6/2K5 w - - 0 1,7,Horst Böttger
ffa43fcc,1q1N4/bp1r1N2/pk6/3p1p2/Pp4n1/1P6/1BQK1PnP/5b2 w - - 0 1,7,Karl Ernst Adolf Anderssen
858cbc9b,2B5/1pp5/1pk5/1R2B3/1Kp3pp/8/7P/8 w - - 0 1,7,Александр Дмитриевич Тюнин
17f21ee0,4k2K/2Ppp2P/P3Bp2/4NpP1/3b4/1p6/5rn1/2q5 w - - 0 1,7,Olivier Schmitt
4268bee0,8/1n5p/4b3/8/1Bp2p1r/2Kp3r/kp1N4/bN4R1 w - - 0 1,7,Otto Bernard Wurzburg
03b24887,kr6/1p4n1/1K2pp2/1ppprp2/4pQ2/8/8/n7 w - - 0 1,7,Josef Halumbirek
760a594b,2r1k1K1/2npN2n/3B4/2b3pp/2P3N1/8/8/7Q w - - 0 1,7,Александр Николаевич Варицкий
97273b2b,8/8/8/3p4/8/5K2/R2P4/2k5 w - - 0 1,7,Hilmar Ebert
44cacab7,8/8/6P1/8/3P4/8/qNQ5/k1K5 w - - 0 1,7,Baldur J. L. Kozdon
1d474ffe,n7/2p5/P1P5/kP1N4/p2N4/3pR3/P2p4/3K4 w - - 0 1,7,Виктор Фёдорович Волчек
750d6165,8/8/8/8/7K/p4p1p/p5pp/R2B2nk w - - 0 1,7,Karl Fabel
c7cb9648,8/p1B5/P7/8/2p3rp/1b6/4P1pp/N3K1kr w - - 0 1,7,Hannes Baumann
24949687,8/4p3/1B2K3/8/4k3/8/3PB1P1/8 w - - 0 1,7,Вячеслав Павлович Антипов
e589935a,6N1/5p1p/5K2/5N1k/8/7B/8/8 w - - 0 1,7,Steven B. Dowd
08a40130,8/3p4/1p6/1P1p4/3k1P2/3Bp3/2R1P3/1K6 w - - 0 1,7,Imants Dulbergs
f310fa00,5Qbq/1n2p3/2R1pp1p/2R5/1B2p1P1/2P4K/N2b1PB1/6kN w - - 0 1,7,Joaquim Crusats
88d1bc02,8/1N6/2R5/4kp2/8/3PK3/8/8 w - - 0 1,7,Josef Kling
a9b1a63d,3N4/8/6B1/2KNk3/8/3p4/3P4/8 w - - 0 1,7,Николай С. Зиновьев
06a97ba2,4B3/5Pqk/6p1/1K6/8/8/4Q3/8 w - - 0 1,7,Baldur J. L. Kozdon
6c229ed0,7b/r2p4/1P4K1/r1pBkN2/1pP3p1/4B3/2Pp4/8 w - - 0 1,7,Michael Herzberg
d0a8cf97,4n2K/4P2R/8/8/3p2P1/1p6/kPBPPrbp/2RNb2r w - - 0 1,7,Josif Michailowitsch Kricheli
cceef15e,2b2N1K/7n/2P3Rp/4k3/2p1P2r/b2pQ3/2q2N2/2n1B3 w - - 0 1,7,М. Кузнецов
2918aa89,k7/2p1ppN1/2P1p3/1RB3pK/8/8/6p1/2b5 w - - 0 1,7,Сергей Петрович Абраменко
4b836989,7K/7P/8/8/8/6Q1/5r1p/5B1k w - - 0 1,7,Herbert Robert Engel
4d22fcaa,8/8/1N6/kP6/N7/B1K5/1P6/8 w - - 0 1,7,Frank Fiedler
2e5dad5e,3K2B1/n7/2pk2N1/2r1N3/p3nP1p/B1p3P1/3bb2r/8 w - - 0 1,7,Herbert Grasemann
b61cdd0c,8/8/8/8/8/3K4/2B1N3/3N3k w - - 0 1,7,Бошко Милошески
8ba4619d,8/2p5/2Pp4/PP6/3B2p1/N7/pp1p2P1/k1bK3R w - - 0 1,7,Theodor Nissl
17215c13,8/8/8/8/1N5P/P1k5/P7/R3K3 w - - 0 1,7,Борис Дмитриевич Пустовой
aef5fa94,8/p3p3/4P3/Ppk1B3/1prp2K1/1PpP3p/2P4p/7B w - - 0 1,7,Bernhard Schauer
9a22873c,2n2K2/2pp4/6p1/2pB4/2pkP3/5RBP/2PpPp2/3nb3 w - - 0 1,7,Alois Johandl
2ffd8e66,k1K5/8/1p6/1Np5/8/2P5/P7/8 w - - 0 1,7,Claus Grupen
1969b8e5,8/8/8/8/8/1r6/3Q2p1/Bk4Kb w - - 0 1,7,Фёдор Васильевич Давиденко
b93f7116,8/1N6/2N5/2K5/k7/P7/1PP5/8 w - - 0 1,7,Евгений Викторович Марков
4db6a2c3,6qk/2pp2N1/7K/6pN/4Qp2/8/8/n7 w - - 0 1,7,Baldur J. L. Kozdon
d4e88aae,8/8/8/8/6pp/p5k1/8/R3K2R w - - 0 1,7,Zdeněk Zach
78faaa66,kq6/5N2/2K5/8/1N6/8/8/5Q2 w - - 0 1,7,Виктор Сергеевич Жеглов
449c0ddf,8/8/8/3N4/8/4K2p/6p1/4Bkr1 w - - 0 1,7,Владимир Владимирович Кожакин
bcb838e1,k5r1/2P4R/1K6/8/8/8/8/8 w - - 0 1,7,Юрий Георгиевич Селявкин
2b8ff301,8/8/1R5B/7k/7p/1K5P/8/8 w - - 0 1,7,Николай С. Зиновьев
a431901a,6k1/8/3P1K2/8/8/p7/6p1/B7 w - - 0 1,7,Alessandro Cuppini
21832af4,8/8/3r4/3p1p2/2pNB3/1p2Bp2/kp4b1/bN1K4 w - - 0 1,7,Josef Kupper
70959ac0,b4r2/b2p4/q3n3/p1p2P2/Q2Np3/1PP1kPBn/1p2p1P1/1B2K3 w - - 0 1,7,Леонід Аврамович Любашевський
62fa022d,1r3b2/rn2BN2/N6p/2p1P3/3p2p1/3B1kP1/3P1p1P/1R3K2 w - - 0 1,7,Рудольф Михайлович Ларин
ef98b67c,4Nr1b/p1r4R/P3b3/B7/2Pp4/pP1k1ppp/PpN5/1K2R3 w - - 0 1,7,Stefan Schneider
4ff873ff,8/8/8/4R3/1p3B2/1P3P2/8/1K1k4 w - - 0 1,7,Виктор Владимирович Кичигин
2b0ec619,8/8/8/p7/7K/4B3/B7/2N1k3 w - - 0 1,7,Siegmar Borchardt
1cfa7adf,8/8/8/8/8/5K2/1P4B1/6k1 w - - 0 1,7,Camil Seneca
ca57f5c6,8/8/8/1P6/8/3K4/4N3/5k2 w - - 0 1,7,Christian Poisson
f52055e4,1K6/8/1k6/1r6/RPB5/8/8/8 w - - 0 1,7,Евгений Викторович Марков
5963feca,k3K3/1R6/2B4n/2p5/1p5p/5pp1/8/n2b4 w - - 0 1,7,Baldur J. L. Kozdon
156e2341,6r1/1N6/1p4BP/1p1Pp2K/1pkpP1pp/6pr/N1PRP3/8 w - - 0 1,7,Ralf Krätschmer
382b4c0f,8/8/8/2n5/5K2/3p1N1k/3P4/R7 w - - 0 1,7,Karl-Heinz Ahlheim
29ba6391,2BB1K2/1p2pP2/5k1p/2pR1p1P/1P5P/r4p2/2bnr2N/8 w - - 0 1,7,Hans Peter Rehm
037d6e1c,k7/P7/1P6/3K4/8/8/1P6/8 w - - 0 1,7,Игорь Алексеевич Агапов
de00daef,1b4b1/nNpp1pq1/P1kPp1p1/Br6/BpPP4/p4N2/2P5/R3K3 w - - 0 1,7,Александр Фёдорович Феоктистов
b111820e,6N1/8/8/8/5K1k/8/6P1/2N5 w - - 0 1,7,Albert Abramowitsch Grigorjan
2450dea1,8/2p5/2p5/k1B5/2B5/3K4/8/8 w - - 0 1,7,Михаил Романович Костылев
74bf0e38,8/B7/8/5RK1/4k3/8/4P3/8 w - - 0 1,7,Віктор Миколайович Сізоненко
0971632b,k7/P2b4/1K6/1P6/1P1N4/8/8/8 w - - 0 1,7,Pavlos N. Moutecidis
a0da5774,6K1/8/5kN1/8/5N2/4P3/5P2/8 w - - 0 1,7,Валерий Алексеевич Иванов
2b4440ae,7b/8/3p1p2/8/1Q6/3b4/5K2/k7 w - - 0 1,7,Herbert Nikolussi
d8604ae1,2k5/2p2n1p/2P5/8/8/8/8/6QK w - - 0 1,7,Wilfried Seehofer
8f91172f,r3k3/8/4K3/8/8/8/8/4Q3 w - - 0 1,7,Werner Speckmann
8e4cfa85,b2kN2Q/4p3/K1p1Bp1p/pp6/1r6/3P1nn1/7p/R1N3q1 w - - 0 1,7,Volker Zipf
8f20d0b3,2n2Kn1/7p/2B4p/8/rPk2BN1/pNPp4/P2P4/4r3 w - - 0 1,7,Милан Радоје Вукчевић
4f7babed,8/4p3/8/2p1B3/p1P1P3/pp3N1p/pr2P2p/kb1R3K w - - 0 1,7,Stanislav Vokál
a11ab7b4,8/8/8/3Bk3/2K1N3/3PN3/8/8 w - - 0 1,7,Николай С. Зиновьев
