id,fen,mateIn,composer
f2b42b1a,1k6/p3p3/P1Kp4/3N4/3p4/3R4/2p2P2/r7 w - - 0 1,0,Павел Михайлович Арестов
e0b252c4,8/k7/8/8/1K6/6pp/8/2R5 w - - 0 1,0,Владимир Викторович Кузьмичев
a001fd9c,8/8/KP3Pk1/3p4/P7/1b4r1/3P4/8 w - - 0 1,0,Николай Иванович Кралин
7521df08,6n1/8/P3K1k1/8/3P4/8/1b1P4/3b4 w - - 0 1,0,Эрнест Левонович Погосянц
f8128a21,8/1R6/8/8/1K6/5pk1/5n2/8 w - - 0 1,0,Александр Петрович Максимовских
18f9827b,8/7p/6pr/5PPN/5B1k/7P/8/4K1n1 w - - 0 1,0,Genrich Kasparjan
d2f7d6d7,3N2b1/2pp4/P1P2k2/1p1P4/1P1P2p1/8/7K/r7 w - - 0 1,0,Михаил Николаевич Клинков
3b065c8c,3k4/8/1p6/2pNp1pP/7q/7p/4P2P/R4K2 w - - 0 1,0,Jānis Zēvers
ed4da764,1N6/5p2/5Kb1/8/1p6/7B/5k2/8 w - - 0 1,0,Georg Heinrich Bernhardt
9405461b,1N2k1bK/1q6/2RPP3/b1P5/2P5/5P2/8/8 w - - 0 1,0,Arthur John Roycroft
f9462932,4B3/8/4p3/4n3/8/6K1/4b3/7k w - - 0 1,0,Genrich Kasparjan
bdd119da,3N4/8/3k1P2/8/8/2p2p1p/7P/7K w - - 0 1,0,Henri Rinck
faf6cfa9,8/3p4/8/7k/3P3p/3P1K2/8/8 w - - 0 1,0,David Blundell
084e2d53,8/4pP2/4r3/4p3/ppp1P3/7p/R4K1P/3k4 w - - 0 1,0,David Gurgenidze
65aadae5,7k/8/6P1/8/6Bn/6pK/4pb1B/6rR w - - 0 1,0,Friedrich Ludwig Balthasar Amelung
703f7e50,8/2R5/5n1N/3B4/K7/3p4/1n6/kb6 w - - 0 1,0,Alexander Manweljan
b284836c,8/7b/8/8/2k4p/8/2N4P/4K2n w - - 0 1,0,Ростислав Николаевич Александров
d13940fc,2K5/8/8/3p4/1k6/qP1R4/4p3/2N3B1 w - - 0 1,0,Владимир Николаевич Кондратьев
77a36ccc,1n6/2k4K/5P2/3P1P2/8/8/8/4b3 w - - 0 1,0,Richard Réti
d731c853,3K4/7p/8/1n5B/1P6/7p/8/4k3 w - - 0 1,0,Валерій Петрович Власенко
b432535f,5k2/rP6/n4N2/2P1n3/bP2K3/B7/8/8 w - - 0 1,0,Joseph Edmund Peckover
4ae06ff4,3b4/8/8/8/1kP5/1N1P4/4Kp2/4n3 w - - 0 1,0,Pauli Kalervo Perkonoja
fb9e93dd,1B6/8/8/8/3p4/pp2ppN1/7R/3K2k1 w - - 0 1,0,Siegfried Hornecker
53cc81f4,1K6/5p2/5P2/n3P3/8/5n2/1pk5/7R w - - 0 1,0,Алексей Алексеевич Троицкий
28a2fe7e,2K5/6Q1/2kb1P2/1q6/8/4p3/8/8 w - - 0 1,0,Julien Gustave Emile Vandiest
8a50a964,8/B7/1N6/1k2b3/3p4/3p2pR/6P1/7K w - - 0 1,0,Владимир Ильич Кацнельсон
85bddecf,k2N4/p3P2b/K1P1PPp1/1P2r1p1/3n2P1/1r6/8/6B1 w - - 0 1,0,Владимир Александрович Корольков
7e7ffc71,6k1/6pq/1p6/4R1PP/1p1n4/1P3KP1/P7/R7 w - - 0 1,0,Genrich Kasparjan
