id,fen,mateIn,composer
73ef8e90,3b4/4N3/8/P3K1P1/6k1/6p1/8/8 w - - 0 1,-1,Henri Rinck
0dfc0b43,K2k4/6N1/8/1B6/7r/6N1/8/8 w - - 0 1,-1,Henri Rinck
719f4516,8/8/5pP1/2p1Pk2/B7/2P4K/4b3/2n5 w - - 0 1,-1,Georg Heinrich Bernhardt
71ec5017,8/8/2rr4/3k4/3B4/8/3K4/4Q3 w - - 0 1,-1,Henri Rinck
c92cdb3b,8/8/2B5/8/1P5k/2K5/4b3/8 w - - 0 1,-1,Николай Дмитриевич Григорьев
3e02feb8,5kN1/3p1q2/5P2/5PP1/2pK4/1p1R4/1P6/8 w - - 0 1,-1,Михаил Герцович Кляцкин
465ef242,8/8/1R6/b7/7n/2P5/1K1pP2R/3rNk2 w - - 0 1,-1,Genrich Kasparjan
cae42cda,7b/1b6/8/2p5/8/K1RN3k/8/8 w - - 0 1,-1,Henri Rinck
9d4e7ed2,7K/2b1k3/2B1P2N/3R3n/8/8/4p3/8 w - - 0 1,-1,Jaroslav Polášek
e152fb1a,8/BR2P3/p7/k2P1b2/2KNq3/8/1P5p/6b1 w - - 0 1,-1,Виталий Семёнович Коваленко
ef55f05a,8/bPp5/4K3/3p4/k7/8/3B4/8 w - - 0 1,-1,Henri Gerard Marie Weenink
b8227bda,5n2/B1N5/2K1p3/8/p3p3/1P6/3kPP2/7b w - - 0 1,-1,Aleksandr Vasilyeviç Sarıçev
f63a0667,k1N5/bpP5/4p3/B3p3/2n1K3/8/8/8 w - - 0 1,-1,Марк Аронович Айзенштат
33433dd9,8/1k1p1P2/3PBr2/8/8/8/6P1/K7 w - - 0 1,-1,Іван Дмитрович Борисенко
eabd9fe9,8/8/4kp2/5Np1/3K4/4N3/8/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
0f711fb9,8/8/4p1P1/3b4/1p6/2k5/1N2P3/2K5 w - - 0 1,-1,Jaroslav Polášek
110e5442,8/8/1K6/4p2B/qp1k4/4N1P1/P2PP3/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
53dffb92,B7/3pkP2/5p1P/4pKPP/2n5/4P1p1/5pP1/8 w - - 0 1,-1,Александр Петрович Казанцев
4f0fa08d,8/1RP3N1/3P3P/qp3R2/4k1pb/5p2/5Pn1/6KB w - - 0 1,-1,Peter Siegfried Krug
fbe27ca6,8/1p1p4/p7/k7/P1P5/1Pr2pB1/K4P2/8 w - - 0 1,-1,Александр Иванович Иванов
f69da7a9,1n4R1/3qNpB1/3pn3/6kp/6B1/6pp/3K4/8 w - - 0 1,-1,Genrich Kasparjan
1e6fcca5,8/8/8/7q/1K3Q2/8/5N2/6k1 w - - 0 1,-1,Владимир Викторович Кузьмичев
71e2d035,kN2b3/P7/K4PP1/8/P7/8/8/7r w - - 0 1,-1,Сергій Миколайович Ткаченко
4a21d1e1,3N4/1B6/7r/3N4/6k1/8/6K1/8 w - - 0 1,-1,Henri Rinck
19ca46c6,8/8/2P5/8/p1Pr4/8/4R3/2K2bkB w - - 0 1,-1,Marco Campioli
c37c38ff,1k6/np4K1/1P6/3qPp2/2R5/6B1/6P1/1b6 w - - 0 1,-1,Владимир Акимович Брон
7073ca13,1B6/8/P7/1r2P3/4kp2/8/4K3/8 w - - 0 1,-1,Михаил Васильевич Кройтор
b379f3ab,k7/p2r4/6p1/4K3/pN6/8/5R2/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
a38c22f3,8/4b1k1/5p1R/8/8/6rB/K4p2/5R2 w - - 0 1,-1,Emilian Dobrescu
6a976abf,8/8/1P6/8/2N1k3/2K3p1/6r1/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
d163425a,8/8/n7/Pk6/8/2K5/8/R7 w - - 0 1,-1,Friedrich Ludwig Balthasar Amelung
5020e4b8,6Q1/Kp2r3/4P3/k3P3/1n6/8/8/8 w - - 0 1,-1,Steffen Slumstrup Nielsen
86f29969,8/8/7K/8/6pk/7q/7B/6Q1 w - - 0 1,-1,Baldur J. L. Kozdon
6c5cda93,8/6Q1/1p2p3/6K1/B7/8/1n6/6kq w - - 0 1,-1,Miroslav Choděra
e6f3e36b,8/1pp3pk/1p2K3/6R1/2P4N/2r5/8/8 w - - 0 1,-1,Frithiof Lindgren
c035ee27,3B4/8/3p4/5k2/1P6/8/3K1p2/6N1 w - - 0 1,-1,Василий Николаевич Платов
e2da7cce,8/8/8/3k4/6Nn/7N/6p1/b3K2R w - - 0 1,-1,Юрий Васильевич Базлов
eab0bbcf,8/1k6/n2K4/Qb6/8/8/8/8 w - - 0 1,-1,Max Arn. K. S. Karstedt
c2db6964,8/6k1/4r3/2R5/B7/6Nb/5K2/8 w - - 0 1,-1,František Richter
709b04a3,8/5k2/4p3/4P1K1/8/8/8/8 w - - 0 1,-1,Николай Дмитриевич Григорьев
ad962c94,4k2r/5ppp/8/p1KNpN2/2R5/8/8/b7 w - - 0 1,-1,Eligiusz Zimmer
92c43256,4R3/k2qN3/1p6/1P6/6p1/6P1/6P1/7K w - - 0 1,-1,Пилип Семенович Бондаренко
409cbad2,K6k/P4p2/P7/7P/p1r4p/5p1p/5P1P/8 w - - 0 1,-1,Jan van Reek
f3da7a88,8/1K6/8/p7/1kr2N2/8/1P5P/3N4 w - - 0 1,-1,Алексей Алексеевич Троицкий
053a9d00,8/K2Pk1P1/1Nqp4/6N1/8/8/bPP5/8 w - - 0 1,-1,Алексей Алексеевич Троицкий
fc7eea65,2N2b2/8/B7/3K2p1/2N5/2p5/2p5/B2k1b2 w - - 0 1,-1,Sergej Kasparjan
6ba7e7dd,4k3/R7/8/4b3/2r5/3N4/6K1/2B5 w - - 0 1,-1,Виталий Иванович Тявловский
ffa9e43e,2R1b3/8/8/8/6B1/2P5/4K2p/2k5 w - - 0 1,-1,Леопольд Адамович Митрофанов
7def2837,5k2/8/1P6/1p1K4/p7/3b1N2/5n2/8 w - - 0 1,-1,Е. Кощаков
2a35e5a3,3R3B/8/2p5/1b6/2p5/5K2/1Nn4p/5k1r w - - 0 1,-1,Bernhard Horwitz
1698f95c,1k2r3/2p2p2/3b1B2/8/8/8/bPK3R1/3R4 w - - 0 1,-1,Walter Freiherr von Holzhausen
683095f9,5nB1/3r4/3P2Pp/3P3k/7P/7K/N7/8 w - - 0 1,-1,Daniel Keith
bc511472,8/6pk/1n1N1P2/5PPp/3p4/p2K4/8/8 w - - 0 1,-1,Алексей Сергеевич Селезнёв
af14ecb7,1B6/R6p/8/5n2/7p/5K2/8/2b2k2 w - - 0 1,-1,Дмитрий Макарович Гречкин
